PROVINCIA;LOCALITA;TIPOLOGIA;TIPOLOGIA SECONDARIA;STELLE;DENOMINAZIONE;INDIRIZZO;NUMERO CIVICO;INTERNO;CAP;TELEFONO;FAX;EMAIL;SITO WEB;ZONA;ACCESSO AI DISABILI;PISCINA;PISCINA COPERTA;RISTORANTE;PARCHEGGIO;SALA CONFERENZE;ARIA CONDIZIONATA;GIOCHI BIMBI;SAUNA;SOLARIUM;FITNESS;ANIMALI AMMESSI;CENTRO STORICO;ZONA FIERA;LAGO;AEROPORTO;AUTOSTRADA;IMPIANTI RISALITA;STAZIONE FS;MARE;TERMALE;PERIFERIA;COLLINARE;INGLESE;FRANCESE;TEDESCO;SPAGNOLO;CHIUSURA TEMPORANEA;ALTRI SERVIZI;DATA ULTIMA MODIFICA;NUOVA CLASSIFICAZIONE LR11;COMUNE;CATEGORIA;CODICE IDENTIFICATIVO
VERONA;;AFFITTACAMERE;;;5 CINQUE;Piazzetta Portichetti;3;;37123;045597004 - 3666932750;;contact@cinquerooms.it;www.cinquerooms.it;verona;Vero;Falso;Falso;Falso;Falso;Falso;Vero;Falso;Falso;Falso;Falso;Falso;Vero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Vero;Falso;Falso;Falso;Falso;;14/02/2018;3 Leoni;VERONA;1;97524
VERONA;;APPARTAMENTO;;;VILLA  CASTELLETTO;Località Tombiol;;;37010;3287556461;;info@villa-castelletto.it;www.villa-castelletto.it;garda;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;;28/10/2014;;BRENZONE SUL GARDA;1;100143
VERONA;;AFFITTACAMERE;;;CORTE REALDI;Vicolo Cieco Monachine;6;;37121;045 594015;;info@corterealdiverona.com;www.corterealdiverona.com;verona;Vero;Falso;Falso;Falso;Falso;Falso;Vero;Falso;Falso;Falso;Falso;Vero;Vero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Vero;Vero;Falso;Vero;Falso;;14/04/2017;3 Leoni;VERONA;1;107962
VERONA;;AFFITTACAMERE;;;LOCANDA MOSCAL;Via Pigna;2;;37010;0456260309;0456267325;info@moscal.it;www.moscal.it;garda;Falso;Falso;Falso;Vero;Falso;Falso;Vero;Falso;Falso;Falso;Falso;Falso;Vero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;LINEA DATI ADSL (INTERNET);16/03/2017;3 Leoni;AFFI;2;308
VERONA;;AFFITTACAMERE;;;CASA AI POGGI;Via dei Poggi;1;;37011;0457210822;0456212520;al-sole@kriss.it;www.alsole.it;garda;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Vero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Vero;Vero;Vero;Falso;Falso;;13/01/2017;2 Leoni;BARDOLINO;2;312
VERONA;;AFFITTACAMERE;;;VILLA CHARME;Piazza Serenissima;1;;37011;045 6210882;045 6210996;info@hotelgardenia.it;www.hotelgardenia.it;garda;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Vero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Vero;Vero;Vero;Falso;Falso;ARIA CONDIZIONATA NELLE CAMERE;12/03/2018;2 Leoni;BARDOLINO;2;324
VERONA;;AFFITTACAMERE;;;AFFITTACAMERE ALESSIO;Via Vasco de Gama;10/3;;37011;0457210698;0457210698;alessiocamere@alessiocamere.it;www.alessiocamere.it;garda;Falso;Falso;Falso;Falso;Vero;Falso;Vero;Vero;Falso;Falso;Falso;Vero;Falso;Falso;Vero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Vero;Falso;Falso;TV SATELLITARE APPARECCHIO TV IN SALA - FRIGO BAR;03/04/2017;2 Leoni;BARDOLINO;2;326
VERONA;;AFFITTACAMERE;;;LOCANDA ARIZONA;Strada Spinarol;16;;37011;0457235452;0456264876;info@arizonalocanda.com;www.arizonalocanda.com;garda;Falso;Falso;Falso;Falso;Vero;Falso;Vero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Vero;Falso;Vero;Falso;Falso;FRIGO BAR;05/04/2017;2 Leoni;BARDOLINO;2;327
VERONA;;AFFITTACAMERE;;;AFFITTACAMERE GIRELLI SORELLE;Loc. Zamboni;120;;37012;0457152073;0457152073;info@girellisorelle.it;;garda;Falso;Falso;Falso;Vero;Vero;Falso;Vero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Vero;Falso;Falso;Falso;Falso;Falso;Falso;;14/03/2017;4 Leoni;BUSSOLENGO;2;336
VERONA;CAVALCASELLE;AFFITTACAMERE;;;LA PALAZZINA;Via Belvedere;24;;37014;0456450042;;info@agriturismochesini.it;;garda;Falso;Falso;Falso;Falso;Vero;Falso;Vero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Vero;Falso;Falso;;25/05/2016;2 Leoni;CASTELNUOVO DEL GARDA;2;339
VERONA;;AFFITTACAMERE;;;LOCANDA BELLA ITALIA;Via Filiselle;16;;37014;0457571290;0457571290;info@locandabellaitalia.com;www.locandabellaitalia.com;garda;Falso;Falso;Falso;Vero;Vero;Falso;Vero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Vero;Vero;Falso;Vero;Falso;Falso;;28/04/2017;3 Leoni;CASTELNUOVO DEL GARDA;2;340
VERONA;MARCIAGA;AFFITTACAMERE;;;BONI CAROLINA;Via Paul;2/A;;37010;0457256143;;afrodite1000@libero.it;;garda;Falso;Falso;Falso;Falso;Vero;Falso;Falso;Falso;Falso;Falso;Falso;Vero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Vero;Vero;Falso;Falso;Vero;Falso;Falso;;19/05/2017;2 Leoni;COSTERMANO SUL GARDA;2;345
VERONA;;AFFITTACAMERE;;;CASA LADY DI BONOMI IVAN;Via Verdi;2/4;;37016;0457256562 - 340 0539208;0457256562;ivan@casalady.it;www.casalady.it;garda;Falso;Falso;Falso;Vero;Vero;Falso;Vero;Falso;Falso;Falso;Falso;Vero;Vero;Falso;Vero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Vero;Vero;Vero;Vero;Falso;;09/11/2017;2 Leoni;GARDA;2;363
VERONA;;AFFITTACAMERE;;;LOCANDA LA CONCHIGLIA;SAN FRANCESCO D'ASSISI;29;;37016;347/2582689-333/2992791;045 6270370;locandalaconchiglia@gmail.com;;garda;Falso;Falso;Falso;Vero;Falso;Falso;Vero;Falso;Falso;Falso;Falso;Falso;Vero;Falso;Vero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Vero;Falso;Vero;Falso;Falso;;31/08/2016;2 Leoni;GARDA;2;369
VERONA;;AFFITTACAMERE;;;LA MIMOSA;Via Sentieri;4;;37017;0456470946;0456470946;info@lamimosa-lazise.it;www.lamimosa-lazise.it;garda;Falso;Falso;Falso;Falso;Vero;Falso;Falso;Falso;Falso;Falso;Falso;Vero;Falso;Falso;Vero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Vero;Falso;Vero;Falso;Falso;;01/03/2017;2 Leoni;LAZISE;2;382
VERONA;PACENGO;AFFITTACAMERE;;;RELAIS BB PACENGO;Via Mantovanella;4;;37017;0457590217;0457590217;bb-pacengo@libero.it;www.bbpacengo.com;garda;Falso;Falso;Falso;Falso;Vero;Falso;Vero;Vero;Falso;Falso;Falso;Falso;Falso;Falso;Vero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Vero;Falso;Vero;Falso;Falso;FRIGOBAR, PHON IN CAMERA;30/03/2017;3 Leoni;LAZISE;2;385
